extension,x,y,mag_v,mag_i,type,snr_v,snr_i,flag_v,flag_i,crowd_v,crowd_i,sharp_v,sharp_i,err_v,err_i
0,3414.79,1924.24,18.408,17.413,1,1056.5,987.0,0,0,0.021,0.025,-0.079,-0.034,0.001,0.001
0,1266.5,480.71,18.322,17.547,1,757.0,943.6,0,0,0.015,0.011,-0.039,-0.039,0.001,0.001
0,239.08,3344.61,18.891,17.6,1,857.0,887.8,0,0,0.055,0.039,-0.01,0.0069999999999999,0.001,0.001
0,2085.69,1206.84,18.884,18.044,1,830.5,741.7,0,0,0.017,0.0139999999999999,-0.037,0.008,0.001,0.001
0,3123.64,3513.66,19.55,18.501,1,635.3,605.2,0,0,0.013,0.015,-0.011,0.0069999999999999,0.002,0.002
0,1737.9,3878.18,19.796,18.417,1,571.8,606.6,0,0,0.02,0.021,-0.033,-0.02,0.002,0.002
0,2559.58,4019.28,20.07,19.004,1,499.1,476.7,0,0,0.009,0.01,-0.003,-0.002,0.002,0.002
0,3779.51,2346.8,21.745,18.531,1,269.2,594.9,0,0,0.008,0.009,0.011,0.005,0.004,0.002
0,2796.4,1213.09,21.056,18.673,1,346.7,546.7,0,0,0.032,0.033,0.002,0.012,0.003,0.002
0,3879.88,3897.27,20.983,19.433,1,338.0,386.3,0,0,0.002,0.004,0.004,0.003,0.003,0.003
0,1669.18,1984.88,20.766,19.598,1,320.4,328.3,0,0,0.252,0.182,-0.078,-0.092,0.003,0.003
0,3913.73,194.49,21.524,19.507,1,276.6,378.3,0,0,0.011,0.013,-0.009,0.001,0.004,0.003
0,1716.15,2136.3,20.854,19.899,1,222.1,207.9,0,0,0.106,0.072,-0.043,0.002,0.005,0.005
0,1630.81,1982.29,21.319000000000003,19.992,1,261.5,279.9,0,0,0.128,0.091,-0.024,-0.015,0.004,0.004
0,2009.24,4021.76,20.844,20.389,1,316.7,245.9,0,0,0.02,0.015,-0.013,0.006,0.003,0.004
0,3663.64,923.49,21.311,20.103,1,273.5,277.8,0,0,0.012,0.017,0.001,0.02,0.004,0.004
0,2636.47,379.38,21.965,20.09,1,216.6,283.0,0,0,0.023,0.02,0.011,0.0069999999999999,0.005,0.004
0,1641.01,1983.81,22.544,19.947,1,153.3,283.7,0,0,0.217,0.114,-0.092,-0.033,0.0069999999999999,0.004
0,2939.11,3412.7,21.458,20.58,1,248.6,220.2,0,0,0.01,0.009,-0.012,0.006,0.004,0.005
0,1990.16,2738.75,21.784,20.474,1,193.8,200.9,0,0,0.34,0.348,-0.045,-0.0409999999999999,0.006,0.005
