extension,x,y,type,mag_v,err_v,snr_v,sharp_v,round_v,crowd_v,flag_v,mag_i,err_i,snr_i,sharp_i,round_i,crowd_i,flag_i
1,2136.64,1225.75,1,22.473,0.005,201.0,0.001,0.059,0.0,0,19.218,0.002,467.8,0.039,0.026,0.0,0
1,4038.87,482.59,1,22.07,0.005,213.6,-0.006,0.105,0.0,0,20.705,0.005,231.8,0.003,0.085,0.0,0
1,969.95,1345.54,1,22.745,0.008,143.9,-0.031,0.083,0.0,2,20.68,0.005,232.2,0.02,-0.019,0.0,0
1,2020.91,2015.3,1,22.508,0.01,110.1,0.05,0.477,0.083,0,20.921,0.008,133.9,0.033,0.159,0.061,0
1,2006.08,1906.41,1,23.023,0.008,131.0,-0.037,0.043,0.002,0,20.912,0.005,197.6,0.006,0.003,0.002,0
1,1949.66,1956.01,1,22.517,0.008,136.4,-0.027,0.018,0.001,0,22.132,0.011,98.5,0.005,0.061,0.004,0
1,1399.23,1830.1,1,23.245,0.009,116.5,-0.001,0.044,0.001,0,21.643,0.008,139.7,0.032,0.035,0.001,0
1,1719.87,1810.76,1,23.486,0.011,102.7,-0.03,0.032,0.003,0,21.758,0.008,129.6,-0.015,0.059,0.003,0
1,1727.66,1617.32,1,22.584,0.008,134.6,-0.0,0.038,0.003,0,22.567,0.013,83.6,0.002,0.088,0.008,0
1,2051.34,2015.38,1,23.56,0.018,59.9,0.016,0.034,0.004,0,21.942,0.014,76.4,0.025,0.087,0.006,0
1,2227.5,1845.08,1,23.59,0.012,87.9,-0.036,0.141,0.008,0,22.05,0.01,104.4,-0.02,0.085,0.013,0
1,1951.26,1938.54,1,23.713,0.014,80.4,-0.022,0.094,0.109,0,22.202,0.013,86.8,-0.011,0.099,0.178,2
1,1811.06,1916.4,1,23.729,0.013,84.7,-0.057,0.035,0.02,0,22.209,0.011,100.0,-0.046,0.006,0.008,0
1,1946.56,1572.02,1,23.731,0.013,81.4,0.011,0.147,0.002,2,22.245,0.011,99.7,0.017,0.056,0.003,0
1,2104.3,2043.27,1,23.08,0.016,66.3,-0.079,0.176,0.035,0,22.773,0.024,46.0,-0.156,0.206,0.076,0
1,2481.79,2019.5,1,24.872,0.037,29.5,-0.115,0.628,0.023,0,22.11,0.015,70.3,-0.077,0.211,0.022,0
